YEAR1,YEAR2,site1,site2,hv1_size,hv2_size,size_ratio,jaccard,sorensen,uniq_y1,uniq_y2,dist_cent
2021,2016,Dakiti,Canal Luis Pena,23.71007576001366,740.2192991952788,0.032031150479040205,0.02539587581262778,0.04953379745652187,0.20202020202020202,0.974439789011675,1.7823514179511109
2023,2016,Dakiti,Canal Luis Pena,44.01027762859654,740.2192991952788,0.05945572842594326,0.04560327581328412,0.08722863990228663,0.22282608695652165,0.9537925588863594,1.7389435468060865
2021,2018,Dakiti,Canal Luis Pena,23.71007576001366,1632.490301140705,0.014523869295545713,0.014245930138510414,0.02809166833248208,0.018867924528301817,0.9857501659741815,0.9459138936826715
2023,2018,Dakiti,Canal Luis Pena,44.01027762859654,1632.490301140705,0.02695898260335409,0.022781233892513887,0.04454761807823317,0.15151515151515155,0.9771257117304875,0.892544285809771
2023,2021,Dakiti,Canal Luis Pena,44.01027762859654,610.5487164369315,0.07208315478154431,0.06447622160227835,0.12114168507254583,0.0991379310344828,0.9350630200459364,0.7569978578585128
2018,2016,Palominos (2016),Canal Luis Pena,58.178382232676945,740.2192991952788,0.0785961434617078,0.05338379415464755,0.10135677888891133,0.3045267489711934,0.9453384845883597,1.7237841057391379
2021,2016,Palominos (2016),Canal Luis Pena,58.171338167689434,740.2192991952788,0.07858662727509233,0.05437653429048257,0.10314443184582812,0.2921810699588477,0.9443748975666013,1.6881798723396633
2023,2016,Palominos (2016),Canal Luis Pena,51.57407780909163,740.2192991952788,0.06967405181837302,0.05497320033297415,0.1042172451691158,0.19999999999999993,0.9442607585453016,1.6781145435804303
2021,2018,Palominos (2016),Canal Luis Pena,58.171338167689434,1632.490301140705,0.035633496950666185,0.022835244718674035,0.04465087576241032,0.351145038167939,0.9768790286961326,0.969329093409656
2023,2018,Palominos (2016),Canal Luis Pena,51.57407780909163,1632.490301140705,0.03159227210909257,0.022955700213083508,0.04488112282536144,0.26724137931034486,0.9768504902648891,0.8647841559231949
2023,2021,Palominos (2016),Canal Luis Pena,51.57407780909163,610.5487164369315,0.08447168329182644,0.0639851024777429,0.12027443303245193,0.2279411764705882,0.9347828915761633,0.7185008676058358
2018,2016,Carlos Rosario,Carlos Rosario,599.7830165388261,148.5869326452232,4.036579838221111,0.121098898631057,0.2160360674315665,0.8652221750636903,0.4559585492227979,1.2200232352618483
2021,2016,Carlos Rosario,Carlos Rosario,101.47290028688009,148.5869326452232,0.6829194094016603,0.08114484857806811,0.15010911569303703,0.8150429312374752,0.8736892278360344,1.7227994587815034
2023,2016,Carlos Rosario,Carlos Rosario,20.57823661651962,148.5869326452232,0.1384929095053984,0.06939600018670619,0.12978541190464585,0.4665439128314464,0.9261201143946617,1.6859957433622261
2021,2018,Carlos Rosario,Carlos Rosario,101.47290028688009,599.7830165388261,0.16918268355187976,0.1643997693737954,0.28237684976905875,0.02427921092564495,0.834924938507043,0.84545918572569
2023,2018,Carlos Rosario,Carlos Rosario,20.57823661651962,599.7830165388261,0.0343094686729722,0.0340427208809528,0.06584393505898886,0.0075187969924811774,0.9659484972568998,0.6673114325474641
2023,2021,Carlos Rosario,Carlos Rosario,20.57823661651962,101.47290028688009,0.20279539225095233,0.1867508848379604,0.31472634606623356,0.06666666666666674,0.8107243005657778,0.2470084298309586
2018,2016,Dakiti,Carlos Rosario,182.43124268413095,148.5869326452232,1.2277744713912149,0.2646196369083608,0.41849680201911366,0.6203225781194901,0.5338417540514776,0.9792776243218912
2021,2016,Dakiti,Carlos Rosario,23.71007576001366,148.5869326452232,0.15957039652084035,0.08665438915505043,0.1594884077584783,0.42051270079778624,0.9075309818875119,1.5216279258049332
