Taxon,RedList,DestrCrit,PopRed,PopRedBack,GenLength,UpperDepth,LowerDepth,DepthRange,DepthRange20,GenGlobAbd,ResFragRange,OffReef,SuscBleaching,ResistBleaching,SuscDisease,ResistDisease,Recover,SuscCoTs,Collection1000
OCU_Galaxea_fascicularis,NT,De,0.2,0.09,10,1,15,14,1,common,0,0,0,0,0,0,0,0,1
OCU_Galaxea_horrescens,LC,De,0.19,0.09,10,5,25,20,1,common,0,0,0,0,0,0,0,0,0
OCU_Galaxea_longisepta,NT,De,0.23,0.1,10,5,20,15,1,rare,0,0,0,0,0,0,0,0,0
OCU_Galaxea_paucisepta,NT,De,0.19,0.09,10,5,20,15,1,rare,0,0,0,0,0,0,0,0,0
OCU_Oculina_diffusa,LC,De,0.1,0.21,10,0.5,30,29.5,0,common,0,1,0,0,0,0,0,0,0
OCU_Oculina_patagonica,LC,A2,NA,NA,10,0.5,10,9.5,1,uncommon,0,1,0,0,0,0,0,0,0
OCU_Oculina_robusta,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCU_Oculina_tenella,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCU_Oculina_valenciennesi,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCU_Oculina_varicosa,VU,A2,0.35,0.2,10,3,152,149,0,common,0,1,0,1,0,1,0,0,0
OCU_Schizoculina_africana,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCU_Schizoculina_fissipara,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCU_Simplastrea_vesicularis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEC_Echinomorpha_nishihirai,NT,De,0.19,0.09,10,5,20,15,1,rare,0,0,0,0,0,0,0,0,0
PEC_Echinophyllia_aspera,LC,De,0.2,0.09,10,3,40,37,0,common,0,0,0,0,0,0,0,0,0
PEC_Echinophyllia_costata,VU,De+Cr,0.41,0.15,10,5,10,5,1,rare,0,0,0,0,0,0,0,0,0
PEC_Echinophyllia_echinata,LC,De,0.2,0.09,10,5,40,35,0,uncommon,0,0,0,0,0,0,0,0,0
PEC_Echinophyllia_echinoporoides,LC,De,0.19,0.09,10,3,30,27,0,common,0,0,0,0,0,0,0,0,0
PEC_Echinophyllia_orpheensis,LC,De,0.2,0.09,10,1,30,29,0,uncommon,0,0,0,0,0,0,0,0,0
PEC_Echinophyllia_patula,LC,De,0.22,0.1,10,10,40,30,0,uncommon,0,0,0,0,0,0,0,0,0
PEC_Echinophyllia_pectinata,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEC_Mycedium_elephantotus,LC,De,0.2,0.09,10,3,40,37,0,common,0,0,0,0,0,0,0,0,1
PEC_Mycedium_mancaoi,LC,De,0.05,0.07,10,NA,NA,NA,NA,uncommon,0,0,0,0,0,0,0,0,0
PEC_Mycedium_robokaki,LC,De,0.2,0.09,10,NA,NA,NA,NA,common,0,0,0,0,0,0,0,0,0
PEC_Mycedium_spina,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEC_Mycedium_steeni,VU,De,0.38,0.16,10,5,30,25,0,rare,0,0,0,0,0,0,0,0,0
PEC_Mycedium_umbra,LC,De,0.06,0.07,10,5,30,25,0,common,0,0,0,0,0,0,0,0,0
PEC_Oxypora_convoluta,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEC_Oxypora_crassispinosa,LC,De,0.2,0.09,10,3,30,27,0,uncommon,0,0,0,0,0,0,0,0,0
PEC_Oxypora_egyptensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEC_Oxypora_glabra,LC,De,0.19,0.09,10,3,40,37,0,common,0,0,0,0,0,0,0,0,0
PEC_Oxypora_lacera,LC,De,0.2,0.09,10,3,30,27,0,common,0,0,0,0,0,0,0,0,0
PEC_Pectinia_africanus,VU,De+Cr,0.45,0.12,10,3,30,27,0,uncommon,1,0,1,0,0,0,0,0,0
PEC_Pectinia_alcicornis,VU,De+Cr,0.38,0.15,10,5,25,20,1,uncommon,0,0,1,0,0,0,0,0,0
PEC_Pectinia_ayleni,NT,De,0.23,0.1,10,2,25,23,0,uncommon,0,0,1,0,0,0,0,0,0
PEC_Pectinia_crassa,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEC_Pectinia_elongata,NT,De,0.2,0.09,10,5,25,20,1,uncommon,0,0,1,0,0,0,0,0,0
PEC_Pectinia_lactuca,VU,De+Cr,0.38,0.15,10,3,15,12,1,common,0,0,1,0,0,0,0,0,1
PEC_Pectinia_maxima,EN,De+Cr,0.66,0.24,10,3,25,22,0,uncommon,0,0,1,0,0,0,0,0,0
PEC_Pectinia_paeonia,NT,De,0.22,0.1,10,3,25,22,0,common,0,0,1,0,0,0,0,0,0
